instance	cell_type	group	function_color	provenance_color
_2624_	a221o_2		core_combinational	agent_written
_2625_	o22ai_2		core_combinational	agent_written
_2626_	nor2_2		core_combinational	agent_written
_2627_	a21oi_2		core_combinational	agent_written
_2628_	a221o_2		core_combinational	agent_written
_2629_	a22o_2		core_combinational	agent_written
_2630_	a22o_2		core_combinational	agent_written
_2631_	mux4_2		core_mux	agent_written
_2632_	mux4_2		core_mux	agent_written
_2633_	mux4_2		core_mux	agent_written
_2634_	a22o_2		core_combinational	agent_written
_2635_	a21o_2		core_combinational	agent_written
_2636_	or2_2		core_combinational	agent_written
_2637_	inv_2		core_combinational	agent_written
_2638_	mux2_1		core_mux	agent_written
_2639_	a22o_2		core_combinational	agent_written
_2640_	or2_2		core_combinational	agent_written
_2641_	o211a_2		core_combinational	agent_written
_2642_	or2_2		core_combinational	agent_written
_2643_	o211a_2		core_combinational	agent_written
_2644_	a211o_2		core_combinational	agent_written
_2645_	mux4_2		core_mux	agent_written
_2646_	mux2_1		core_mux	agent_written
_2647_	a21o_2		core_combinational	agent_written
_2648_	mux2_1		core_mux	agent_written
_2649_	a22o_2		core_combinational	agent_written
_2650_	o22a_2		core_combinational	agent_written
_2651_	mux2_1		core_mux	agent_written
_2652_	o22a_2		core_combinational	agent_written
_2653_	or4b_2		core_combinational	agent_written
_2654_	or4bb_2		core_combinational	agent_written
_2655_	a21oi_2		core_combinational	agent_written
_2656_	and2_2		core_combinational	agent_written
_2657_	mux4_2		core_mux	agent_written
_2658_	and2_2		core_combinational	agent_written
_2659_	mux4_2		core_mux	agent_written
_2660_	mux4_2		core_mux	agent_written
_2661_	a22o_2		core_combinational	agent_written
_2662_	or4_2		core_combinational	agent_written
_2663_	nor3b_2		core_combinational	agent_written
_2664_	or2_2		core_combinational	agent_written
_2665_	nand2b_2		core_combinational	agent_written
_2666_	a32o_2		core_combinational	agent_written
_2667_	mux4_2		core_mux	agent_written
_2668_	a211oi_2		core_combinational	agent_written
_2669_	mux4_2		core_mux	agent_written
_2670_	mux2_1		core_mux	agent_written
_2671_	mux2_1		core_mux	agent_written
_2672_	a22o_2		core_combinational	agent_written
_2673_	a211oi_2		core_combinational	agent_written
_2674_	or2_2		core_combinational	agent_written
_2675_	or3_2		core_combinational	agent_written
_2676_	or2_2		core_combinational	agent_written
_2677_	a21bo_2		core_combinational	agent_written
_2678_	a21o_2		core_combinational	agent_written
_2679_	o21ai_2		core_combinational	agent_written
_2680_	mux4_2		core_mux	agent_written
_2681_	or2_2		core_combinational	agent_written
_2682_	mux4_2		core_mux	agent_written
_2683_	a21o_2		core_combinational	agent_written
_2684_	mux4_2		core_mux	agent_written
_2685_	o211a_2		core_combinational	agent_written
_2686_	a21o_2		core_combinational	agent_written
_2687_	a221o_2		core_combinational	agent_written
_2688_	a21oi_2		core_combinational	agent_written
_2689_	mux4_2		core_mux	agent_written
_2690_	mux2_1		core_mux	agent_written
_2691_	a22o_2		core_combinational	agent_written
_2692_	mux2_1		core_mux	agent_written
_2693_	mux4_2		core_mux	agent_written
_2694_	mux2_1		core_mux	agent_written
_2695_	mux2_1		core_mux	agent_written
_2696_	a22o_2		core_combinational	agent_written
_2697_	a211o_2		core_combinational	agent_written
_2698_	o21a_2		core_combinational	agent_written
_2699_	mux2_1		core_mux	agent_written
_2700_	nor2_2		core_combinational	agent_written
_2701_	o211a_2		core_combinational	agent_written
_2702_	a22o_2		core_combinational	agent_written
_2703_	a22o_2		core_combinational	agent_written
_2704_	mux4_2		core_mux	agent_written
_2705_	mux4_2		core_mux	agent_written
_2706_	mux4_2		core_mux	agent_written
_2707_	a22o_2		core_combinational	agent_written
_2708_	a21o_2		core_combinational	agent_written
_2709_	or2_2		core_combinational	agent_written
